2024-01-28 17:06:37.524 +01:00 [INF] Test info channel
2024-01-28 17:19:53.345 +01:00 [INF] Test info channel
2024-01-28 17:19:54.507 +01:00 [DBG] Existing Tables: pg_statistic, pg_type, pg_foreign_table, pg_authid, pg_statistic_ext_data, pg_user_mapping, pg_subscription, pg_attribute, pg_proc, pg_class, pg_attrdef, pg_constraint, pg_inherits, pg_index, pg_operator, pg_opfamily, pg_opclass, pg_am, pg_amop, pg_amproc, pg_language, pg_largeobject_metadata, pg_aggregate, pg_statistic_ext, pg_rewrite, pg_trigger, pg_event_trigger, pg_description, pg_cast, pg_enum, pg_namespace, pg_conversion, pg_depend, pg_database, pg_db_role_setting, pg_tablespace, pg_auth_members, pg_shdepend, pg_shdescription, pg_ts_config, pg_ts_config_map, pg_ts_dict, pg_ts_parser, pg_ts_template, pg_extension, pg_foreign_data_wrapper, pg_foreign_server, pg_policy, pg_replication_origin, pg_default_acl, pg_init_privs, pg_seclabel, pg_shseclabel, pg_collation, pg_parameter_acl, pg_partitioned_table, pg_range, pg_transform, pg_sequence, pg_publication, pg_publication_namespace, pg_publication_rel, pg_subscription_rel, pg_largeobject, sql_features, sql_implementation_info, sql_parts, sql_sizing
2024-01-28 17:20:59.265 +01:00 [INF] Test info channel
2024-01-28 17:20:59.987 +01:00 [DBG] Existing Tables: pg_statistic, pg_type, pg_foreign_table, pg_authid, pg_statistic_ext_data, pg_user_mapping, pg_subscription, pg_attribute, pg_proc, pg_class, pg_attrdef, pg_constraint, pg_inherits, pg_index, pg_operator, pg_opfamily, pg_opclass, pg_am, pg_amop, pg_amproc, pg_language, pg_largeobject_metadata, pg_aggregate, pg_statistic_ext, pg_rewrite, pg_trigger, pg_event_trigger, pg_description, pg_cast, pg_enum, pg_namespace, pg_conversion, pg_depend, pg_database, pg_db_role_setting, pg_tablespace, pg_auth_members, pg_shdepend, pg_shdescription, pg_ts_config, pg_ts_config_map, pg_ts_dict, pg_ts_parser, pg_ts_template, pg_extension, pg_foreign_data_wrapper, pg_foreign_server, pg_policy, pg_replication_origin, pg_default_acl, pg_init_privs, pg_seclabel, pg_shseclabel, pg_collation, pg_parameter_acl, pg_partitioned_table, pg_range, pg_transform, pg_sequence, pg_publication, pg_publication_namespace, pg_publication_rel, pg_subscription_rel, pg_largeobject, sql_features, sql_implementation_info, sql_parts, sql_sizing
2024-01-28 17:21:54.013 +01:00 [INF] Test info channel
2024-01-28 17:21:54.719 +01:00 [DBG] Existing Tables: pg_statistic, pg_type, pg_foreign_table, pg_authid, pg_statistic_ext_data, pg_user_mapping, pg_subscription, pg_attribute, pg_proc, pg_class, pg_attrdef, pg_constraint, pg_inherits, pg_index, pg_operator, pg_opfamily, pg_opclass, pg_am, pg_amop, pg_amproc, pg_language, pg_largeobject_metadata, pg_aggregate, pg_statistic_ext, pg_rewrite, pg_trigger, pg_event_trigger, pg_description, pg_cast, pg_enum, pg_namespace, pg_conversion, pg_depend, pg_database, pg_db_role_setting, pg_tablespace, pg_auth_members, pg_shdepend, pg_shdescription, pg_ts_config, pg_ts_config_map, pg_ts_dict, pg_ts_parser, pg_ts_template, pg_extension, pg_foreign_data_wrapper, pg_foreign_server, pg_policy, pg_replication_origin, pg_default_acl, pg_init_privs, pg_seclabel, pg_shseclabel, pg_collation, pg_parameter_acl, pg_partitioned_table, pg_range, pg_transform, pg_sequence, pg_publication, pg_publication_namespace, pg_publication_rel, pg_subscription_rel, pg_largeobject, sql_features, sql_implementation_info, sql_parts, sql_sizing
2024-01-28 17:23:09.579 +01:00 [INF] Test info channel
2024-01-28 17:23:14.796 +01:00 [INF] Request Ip=::1 Url=/favicon.ico Time=001.452
2024-01-28 17:33:41.430 +01:00 [INF] Test info channel
2024-01-28 17:33:42.012 +01:00 [INF] Request Ip=::1 Url=/ Time=334.205
2024-01-28 17:33:42.103 +01:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=010.335
2024-01-28 17:33:42.103 +01:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=072.558
2024-01-28 17:33:42.106 +01:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=013.376
2024-01-28 17:33:42.108 +01:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=000.591
2024-01-28 17:33:42.275 +01:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=167.111
2024-01-28 17:33:42.277 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=184.410
2024-01-28 17:33:42.280 +01:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=000.663
2024-01-28 17:33:42.307 +01:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.498
2024-01-28 17:33:42.307 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.947
2024-01-28 17:33:42.416 +01:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.css Time=323.584
2024-01-28 17:33:42.534 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=002.796
2024-01-28 17:33:42.544 +01:00 [INF] Request Ip=::1 Url=/static/img/sample.png Time=000.625
2024-01-28 17:33:42.602 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=033.096
2024-01-28 17:33:42.687 +01:00 [INF] Request Ip=::1 Url=/static/assets/favicon.png Time=000.479
2024-01-28 17:33:42.951 +01:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.514
2024-01-28 17:35:22.026 +01:00 [INF] Test info channel
2024-01-28 17:35:22.422 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=010.952
2024-01-28 17:35:22.567 +01:00 [INF] Request Ip=::1 Url=/ Time=239.240
2024-01-28 17:35:22.582 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=132.832
2024-01-28 17:35:22.592 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=003.877
2024-01-28 17:35:22.593 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=018.368
2024-01-28 17:35:22.619 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.311
2024-01-28 17:35:22.764 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.326
2024-01-28 17:35:22.786 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.330
2024-01-28 17:35:42.419 +01:00 [INF] Test info channel
2024-01-28 17:35:42.770 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.719
2024-01-28 17:35:42.883 +01:00 [INF] Request Ip=::1 Url=/ Time=200.545
2024-01-28 17:35:42.895 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=119.889
2024-01-28 17:35:42.900 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=009.165
2024-01-28 17:35:42.902 +01:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=002.752
2024-01-28 17:35:42.931 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.229
2024-01-28 17:35:43.026 +01:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=001.327
2024-01-28 17:35:43.046 +01:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=000.323
2024-01-28 17:38:27.088 +01:00 [INF] Request Ip=::1 Url=/ Time=078.131
2024-01-28 17:38:27.097 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=164030.395
2024-01-28 17:38:27.107 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.323
2024-01-28 17:38:27.115 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.161
2024-01-28 17:38:27.139 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=043.801
2024-01-28 17:38:27.275 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.946
2024-01-28 17:38:27.305 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.281
2024-01-28 17:38:52.042 +01:00 [INF] Request Ip=::1 Url=/ Time=054.821
2024-01-28 17:38:52.047 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=24732.160
2024-01-28 17:38:52.048 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.803
2024-01-28 17:38:52.062 +01:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=006.375
2024-01-28 17:38:52.062 +01:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=002.385
2024-01-28 17:38:52.062 +01:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=002.514
2024-01-28 17:38:52.065 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.458
2024-01-28 17:38:52.065 +01:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.css Time=007.369
2024-01-28 17:38:52.076 +01:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=000.630
2024-01-28 17:38:52.081 +01:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.374
2024-01-28 17:38:52.083 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.179
2024-01-28 17:38:52.256 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.130
2024-01-28 17:38:52.266 +01:00 [INF] Request Ip=::1 Url=/static/img/sample.png Time=000.621
2024-01-28 17:38:52.280 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.186
2024-01-28 17:38:52.343 +01:00 [INF] Request Ip=::1 Url=/static/assets/favicon.png Time=000.534
2024-01-28 17:39:32.411 +01:00 [INF] Request Ip=::1 Url=/ Time=008.506
2024-01-28 17:39:32.417 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=40119.825
2024-01-28 17:39:32.418 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.703
2024-01-28 17:39:32.431 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.243
2024-01-28 17:39:32.560 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.905
2024-01-28 17:39:32.580 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.324
2024-01-28 17:39:34.617 +01:00 [INF] Request Ip=::1 Url=/ Time=003.425
2024-01-28 17:39:34.622 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=2037.949
2024-01-28 17:39:34.624 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.680
2024-01-28 17:39:34.634 +01:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=000.697
2024-01-28 17:39:34.637 +01:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=000.529
2024-01-28 17:39:34.638 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.559
2024-01-28 17:39:34.638 +01:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=002.151
2024-01-28 17:39:34.639 +01:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.css Time=003.334
2024-01-28 17:39:34.645 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.175
2024-01-28 17:39:34.656 +01:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=000.741
2024-01-28 17:39:34.661 +01:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.467
2024-01-28 17:39:34.805 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.106
2024-01-28 17:39:34.815 +01:00 [INF] Request Ip=::1 Url=/static/img/sample.png Time=000.628
2024-01-28 17:39:34.826 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.181
2024-01-28 17:39:34.893 +01:00 [INF] Request Ip=::1 Url=/static/assets/favicon.png Time=000.422
2024-01-28 17:39:52.782 +01:00 [INF] Request Ip=::1 Url=/ Time=001.919
2024-01-28 17:39:52.793 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=17949.693
2024-01-28 17:39:52.794 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.631
2024-01-28 17:39:52.802 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.205
2024-01-28 17:39:52.914 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.091
2024-01-28 17:39:52.935 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.188
2024-01-28 17:40:21.562 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=28612.902
2024-01-28 17:40:29.165 +01:00 [INF] Test info channel
2024-01-28 17:40:30.258 +01:00 [INF] Request Ip=::1 Url=/ Time=217.566
2024-01-28 17:40:30.285 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.556
2024-01-28 17:40:30.507 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.094
2024-01-28 17:40:30.582 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.551
2024-01-28 17:41:19.119 +01:00 [INF] Test info channel
2024-01-28 17:41:19.518 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=009.169
2024-01-28 17:41:19.636 +01:00 [INF] Request Ip=::1 Url=/ Time=227.241
2024-01-28 17:41:19.653 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=129.029
2024-01-28 17:41:19.653 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=009.809
2024-01-28 17:41:19.665 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.553
2024-01-28 17:41:19.844 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.326
2024-01-28 17:41:19.867 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.393
2024-01-28 17:41:32.511 +01:00 [INF] Test info channel
2024-01-28 17:41:32.919 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=007.012
2024-01-28 17:41:33.029 +01:00 [INF] Request Ip=::1 Url=/ Time=221.696
2024-01-28 17:41:33.044 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=119.514
2024-01-28 17:41:33.045 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=009.936
2024-01-28 17:41:33.050 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=003.542
2024-01-28 17:41:33.179 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.901
2024-01-28 17:41:33.202 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.357
2024-01-28 17:42:30.081 +01:00 [INF] Request Ip=::1 Url=/ Time=019.765
2024-01-28 17:42:30.093 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=56857.898
2024-01-28 17:42:30.094 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=002.889
2024-01-28 17:42:30.106 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.863
2024-01-28 17:42:30.217 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.244
2024-01-28 17:42:30.233 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.296
2024-01-28 17:43:41.762 +01:00 [INF] Request Ip=::1 Url=/ Time=010.865
2024-01-28 17:43:41.782 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=71545.385
2024-01-28 17:43:41.784 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.947
2024-01-28 17:43:41.795 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.090
2024-01-28 17:43:41.943 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.044
2024-01-28 17:43:41.967 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.267
2024-01-28 17:46:52.137 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=190092.096
2024-01-28 17:47:20.001 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.439
2024-01-28 17:47:20.087 +01:00 [INF] Request Ip=::1 Url=/favicon.ico Time=001.365
2024-01-28 17:50:17.868 +01:00 [INF] Test info channel
2024-01-28 17:50:18.507 +01:00 [INF] Request Ip=::1 Url=/ Time=204.225
2024-01-28 17:50:18.531 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.185
2024-01-28 17:50:18.800 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.525
