2024-01-30 22:25:02.964 +01:00 [INF] Test info channel
2024-01-30 22:25:03.779 +01:00 [INF] Request Ip=::1 Url=/ Time=314.700
2024-01-30 22:25:03.807 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=004.997
2024-01-30 22:25:03.869 +01:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=018.273
2024-01-30 22:25:04.094 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=002.748
2024-01-30 22:25:04.144 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=005.019
2024-01-30 22:25:05.272 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=009.519
2024-01-30 22:27:07.978 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=123757.309
2024-01-30 22:28:05.374 +01:00 [INF] Test info channel
2024-01-30 22:28:06.112 +01:00 [INF] Request Ip=::1 Url=/ Time=279.464
2024-01-30 22:28:06.140 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.627
2024-01-30 22:28:06.203 +01:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=019.554
2024-01-30 22:28:06.416 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.172
2024-01-30 22:28:06.470 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.639
2024-01-30 22:37:33.264 +01:00 [INF] Request Ip=::1 Url=/ Time=020.614
2024-01-30 22:37:33.277 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=007.530
2024-01-30 22:37:33.279 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=566744.458
2024-01-30 22:37:33.285 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.866
2024-01-30 22:37:33.325 +01:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=000.322
2024-01-30 22:37:33.509 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.212
2024-01-30 22:37:33.588 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.342
2024-01-30 22:39:33.468 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=119805.429
2024-01-30 22:39:35.740 +01:00 [INF] Request Ip=::1 Url=/ Time=019.910
2024-01-30 22:39:35.746 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.793
2024-01-30 22:39:35.763 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.249
2024-01-30 22:39:35.763 +01:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=001.225
2024-01-30 22:39:36.012 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.285
2024-01-30 22:39:36.070 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.291
2024-01-30 22:39:36.223 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=147.429
2024-01-30 22:40:51.912 +01:00 [INF] Test info channel
2024-01-30 22:40:52.651 +01:00 [INF] Request Ip=::1 Url=/ Time=291.435
2024-01-30 22:40:52.680 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=005.661
2024-01-30 22:40:52.721 +01:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=001.373
2024-01-30 22:40:52.942 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=003.409
2024-01-30 22:40:52.989 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.326
2024-01-30 22:40:53.235 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=167.423
2024-01-30 22:43:46.110 +01:00 [INF] Request Ip=::1 Url=/ Time=023.176
2024-01-30 22:43:46.124 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=005.701
2024-01-30 22:43:46.130 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.487
2024-01-30 22:43:46.156 +01:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=000.295
2024-01-30 22:43:46.269 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.131
2024-01-30 22:43:46.325 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.295
2024-01-30 22:43:46.391 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=043.020
2024-01-30 22:44:55.849 +01:00 [INF] Request Ip=::1 Url=/ Time=009.519
2024-01-30 22:44:55.867 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=000.827
2024-01-30 22:44:55.878 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.213
2024-01-30 22:44:56.094 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.138
2024-01-30 22:44:56.168 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.293
2024-01-30 22:44:56.433 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=178.619
2024-01-30 22:45:06.153 +01:00 [INF] Test info channel
2024-01-30 22:45:06.906 +01:00 [INF] Request Ip=::1 Url=/ Time=287.128
2024-01-30 22:45:06.985 +01:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=004.413
2024-01-30 22:45:07.280 +01:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.718
2024-01-30 22:45:07.362 +01:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=006.802
2024-01-30 22:45:07.642 +01:00 [INF] Request Ip=::1 Url=/_blazor Time=177.195
2024-01-30 22:45:10.981 +01:00 [INF] Request Ip=::1 Url=/ Time=016.382
2024-01-30 22:45:10.989 +01:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=005.924
2024-01-30 22:45:10.997 +01:00 [INF] Request Ip=127.0.0.1 Url=/_framework/blazor.server.js Time=000.364
2024-01-30 22:45:11.199 +01:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/initializers Time=000.207
2024-01-30 22:45:11.252 +01:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/negotiate Time=000.574
2024-01-30 22:45:14.089 +01:00 [INF] Request Ip=127.0.0.1 Url=/_blazor/disconnect Time=001.496
