2024-04-17 23:28:15.849 +02:00 [INF] Test info channel
2024-04-17 23:28:19.357 +02:00 [INF] Request Ip=::1 Url=/ Time=396.225
2024-04-17 23:28:20.100 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=004.219
2024-04-17 23:28:20.668 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=006.083
2024-04-17 23:28:21.001 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=009.878
2024-04-17 23:28:54.135 +02:00 [INF] Request Ip=::1 Url=/read Time=029.324
2024-04-17 23:28:54.226 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.161
2024-04-17 23:28:54.550 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.839
2024-04-17 23:28:54.644 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.849
2024-04-17 23:29:00.476 +02:00 [INF] Request Ip=::1 Url=/read Time=011.041
2024-04-17 23:29:00.492 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=5798.184
2024-04-17 23:29:00.501 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=000.321
2024-04-17 23:29:00.505 +02:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=011.257
2024-04-17 23:29:00.652 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.361
2024-04-17 23:29:00.682 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.397
2024-04-17 23:29:05.753 +02:00 [INF] Request Ip=::1 Url=/read Time=009.113
2024-04-17 23:29:05.763 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=5060.701
2024-04-17 23:29:05.765 +02:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=002.267
2024-04-17 23:29:05.794 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=003.860
2024-04-17 23:29:05.795 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=011.931
2024-04-17 23:29:05.795 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=008.773
2024-04-17 23:29:05.795 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=007.729
2024-04-17 23:29:05.802 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.css Time=014.230
2024-04-17 23:29:05.814 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=001.552
2024-04-17 23:29:05.825 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.978
2024-04-17 23:29:05.825 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=000.978
2024-04-17 23:29:06.084 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=000.354
2024-04-17 23:29:06.122 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.588
2024-04-17 23:29:06.226 +02:00 [INF] Request Ip=::1 Url=/static/assets/favicon.png Time=001.156
2024-04-17 23:31:10.322 +02:00 [INF] Request Ip=::1 Url=/ Time=027.855
2024-04-17 23:31:10.362 +02:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=003.367
2024-04-17 23:31:10.365 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=124199.574
2024-04-17 23:31:10.399 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=000.638
2024-04-17 23:31:10.399 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=000.927
2024-04-17 23:31:10.400 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=000.374
2024-04-17 23:31:10.401 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.489
2024-04-17 23:31:10.431 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.css Time=038.192
2024-04-17 23:31:10.433 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=002.344
2024-04-17 23:31:10.437 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.957
2024-04-17 23:31:10.450 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=001.066
2024-04-17 23:31:10.721 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=001.882
2024-04-17 23:31:11.337 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.752
2024-04-17 23:31:11.618 +02:00 [INF] Request Ip=::1 Url=/static/assets/favicon.png Time=001.493
2024-04-17 23:31:55.020 +02:00 [INF] Request Ip=::1 Url=/ Time=007.535
2024-04-17 23:31:55.033 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=43525.112
2024-04-17 23:31:55.037 +02:00 [INF] Request Ip=::1 Url=/_blazor/disconnect Time=002.187
2024-04-17 23:31:55.062 +02:00 [INF] Request Ip=::1 Url=/static/css/site.css Time=002.958
2024-04-17 23:31:55.073 +02:00 [INF] Request Ip=::1 Url=/static/assets/logo.png Time=000.542
2024-04-17 23:31:55.075 +02:00 [INF] Request Ip=::1 Url=/_framework/blazor.server.js Time=001.290
2024-04-17 23:31:55.073 +02:00 [INF] Request Ip=::1 Url=/static/js/twConfig.js Time=000.739
2024-04-17 23:31:55.091 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.css Time=020.436
2024-04-17 23:31:55.125 +02:00 [INF] Request Ip=::1 Url=/_content/MudBlazor/MudBlazor.min.js Time=001.641
2024-04-17 23:31:55.131 +02:00 [INF] Request Ip=::1 Url=/static/js/baseDomManagement.js Time=000.819
2024-04-17 23:31:55.134 +02:00 [INF] Request Ip=::1 Url=/static/js/readerStorageManagement.js Time=000.847
2024-04-17 23:31:56.087 +02:00 [INF] Request Ip=::1 Url=/_blazor/initializers Time=004.566
2024-04-17 23:31:56.167 +02:00 [INF] Request Ip=::1 Url=/_blazor/negotiate Time=000.557
2024-04-17 23:31:56.316 +02:00 [INF] Request Ip=::1 Url=/static/assets/favicon.png Time=001.267
2024-04-17 23:32:18.358 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=22164.705
2024-04-17 23:32:18.358 +02:00 [INF] Request Ip=::1 Url=/_blazor Time=237344.414
2024-04-17 23:32:30.674 +02:00 [INF] Test info channel
